2016-04-01 12:29:57 status unpacked ca-certificates:all 20160104ubuntu0.14.04.1
2016-04-01 12:29:58 status half-configured ca-certificates:all 20160104ubuntu0.14.04.1
2016-04-01 12:29:59 status installed ca-certificates:all 20160104ubuntu0.14.04.1
2016-04-01 12:29:59 status triggers-pending ca-certificates:all 20160104ubuntu0.14.04.1
2016-04-01 12:29:59 trigproc ca-certificates:all 20160104ubuntu0.14.04.1 <none>
2016-04-01 12:29:59 status half-configured ca-certificates:all 20160104ubuntu0.14.04.1
2016-04-01 12:30:01 status installed ca-certificates:all 20160104ubuntu0.14.04.1
2016-04-01 12:30:02 startup packages configure
2016-04-01 12:30:03 startup archives unpack
2016-04-01 12:30:04 upgrade coreutils:amd64 8.21-1ubuntu5.3 8.21-1ubuntu5.4
2016-04-01 12:30:04 status half-configured coreutils:amd64 8.21-1ubuntu5.3
2016-04-01 12:30:04 status unpacked coreutils:amd64 8.21-1ubuntu5.3
2016-04-01 12:30:04 status half-installed coreutils:amd64 8.21-1ubuntu5.3
2016-04-01 12:30:04 status triggers-pending install-info:amd64 5.2.0.dfsg.1-2
2016-04-01 12:30:04 status triggers-pending man-db:amd64 2.6.7.1-1ubuntu1
2016-04-01 12:30:04 status half-installed coreutils:amd64 8.21-1ubuntu5.3
2016-04-01 12:30:04 status unpacked coreutils:amd64 8.21-1ubuntu5.4
2016-04-01 12:30:04 status unpacked coreutils:amd64 8.21-1ubuntu5.4
2016-04-01 12:30:04 trigproc install-info:amd64 5.2.0.dfsg.1-2 5.2.0.dfsg.1-2
2016-04-01 12:30:04 status half-configured install-info:amd64 5.2.0.dfsg.1-2
2016-04-01 12:30:04 status installed install-info:amd64 5.2.0.dfsg.1-2
2016-04-01 12:30:04 trigproc man-db:amd64 2.6.7.1-1ubuntu1 2.6.7.1-1ubuntu1
2016-04-01 12:30:04 status half-configured man-db:amd64 2.6.7.1-1ubuntu1
2016-04-01 12:30:05 status installed man-db:amd64 2.6.7.1-1ubuntu1
2016-04-01 12:30:05 startup packages configure
2016-04-01 12:30:05 configure coreutils:amd64 8.21-1ubuntu5.4 <none>
2016-04-01 12:30:05 status unpacked coreutils:amd64 8.21-1ubuntu5.4
2016-04-01 12:30:05 status half-configured coreutils:amd64 8.21-1ubuntu5.4
2016-04-01 12:30:05 status installed coreutils:amd64 8.21-1ubuntu5.4
2016-04-01 12:30:06 startup packages configure
2016-04-01 12:30:07 startup archives unpack
2016-04-01 12:30:07 upgrade cpio:amd64 2.11+dfsg-1ubuntu1.1 2.11+dfsg-1ubuntu1.2
2016-04-01 12:30:07 status half-configured cpio:amd64 2.11+dfsg-1ubuntu1.1
2016-04-01 12:30:07 status unpacked cpio:amd64 2.11+dfsg-1ubuntu1.1
2016-04-01 12:30:07 status half-installed cpio:amd64 2.11+dfsg-1ubuntu1.1
2016-04-01 12:30:07 status triggers-pending man-db:amd64 2.6.7.1-1ubuntu1
2016-04-01 12:30:07 status half-installed cpio:amd64 2.11+dfsg-1ubuntu1.1
2016-04-01 12:30:08 status unpacked cpio:amd64 2.11+dfsg-1ubuntu1.2
